Wavenumbercm-1,01:48:03
3000,0.0286046963591459
2996,0.033110090225023
2992,0.0395218747745318
2988,0.0453691897464812
2984,0.0479317583984999
2980,0.0465791457802532
2976,0.0424866223412448
2972,0.0373421652527981
2968,0.0322475349413558
2964,0.0277258194010073
2960,0.0240570741955044
2956,0.0215036820856142
2952,0.0204366676710628
2948,0.0210011912375763
2944,0.0224675480159829
2940,0.0235608359095041
2936,0.0235724228460585
2932,0.0228760705723708
2928,0.0218369757590174
2924,0.0202796129415706
2920,0.0186288594920572
2916,0.0180995486062867
2912,0.0189363132392481
2908,0.0197856918435236
2904,0.0195642180660378
2900,0.0187465122849029
2896,0.0184511800920514
2892,0.0189892330740674
2888,0.0198530697208432
2884,0.0205173012563251
2880,0.0205449615218257
2876,0.0196291948331875
2872,0.0180628814141643
2868,0.0166445023523596
2864,0.01580349743266
2860,0.0152484938259081
2856,0.0146482164275184
2852,0.0141846016730439
2848,0.0141683369044862
2844,0.0145753408663869
2840,0.0152714587915944
2836,0.0161061488905428
2832,0.0167297557058228
2828,0.0167877911481563
2824,0.0163786489937818
2820,0.0159057926375009
2816,0.0154798544617658
2812,0.0149091766901306
2808,0.014226451839127
2804,0.013670053844026
2800,0.013127918404318
2796,0.0122914665864497
2792,0.0113772871994859
2788,0.0109708581482581
2784,0.0110793006872814
2780,0.0110757973999043
2776,0.0106953656306027
2772,0.0103387009098639
2768,0.01031514504782
2764,0.0104531829713237
2760,0.0105471051289537
2756,0.0106138253422918
2752,0.0105894203279157
2748,0.0103037549509731
2744,0.00994165607132028
2740,0.00997629004261351
2736,0.0104075529043766
2732,0.0106870471905484
2728,0.0105741746559867
2724,0.010503215530999
2720,0.0108661628814865
2716,0.0114020131785194
2712,0.0116380922116379
2708,0.0114995431689453
2704,0.0112975382756791
2700,0.011436503999534
2696,0.0121758372298838
2692,0.0133524721613407
2688,0.0142436583297585
2684,0.0141285986627188
2680,0.013120144009042
2676,0.012015420984186
2672,0.0112716796207151
2668,0.0106437518794365
2664,0.00987936143262449
2660,0.00918099400873085
2656,0.00883052806632508
2652,0.00877289896858458
2648,0.00884762543175828
2644,0.00910442920706987
2640,0.00960024039025766
2636,0.0101555062283411
2632,0.0106081005406298
2628,0.0110703038516988
2624,0.0115969372785205
2620,0.0118856776074691
2616,0.0116719533944518
2612,0.0112108909068925
2608,0.0109449972742882
2604,0.0108728690746341
2600,0.0106759415939764
2596,0.0103332509751209
2592,0.0102291156216657
2588,0.0106238269129991
2584,0.0113153304580886
2580,0.0119087922177387
2576,0.0122288067383127
2572,0.0123907736223657
2568,0.0126437541247134
2564,0.0131762838778742
2560,0.0140927801945645
2556,0.0155129312648753
2552,0.0175939055680761
2548,0.0204384812401878
2544,0.0239873780441655
2540,0.0277341086578652
2536,0.0304838481416304
2532,0.0311731410614239
2528,0.0300626212720472
2524,0.0281229108822944
2520,0.0258573456022261
2516,0.0233776739351601
2512,0.0208411276468927
2508,0.0186040969483324
2504,0.0170397239018248
2500,0.0160787353937436
2496,0.0151788344659585
2492,0.0140340846365817
2488,0.0129643438266521
2484,0.0123739515336258
2480,0.0121469040184961
2476,0.0119506179703071
2472,0.0118308439371347
2468,0.0120485526171811
2464,0.0125511260275036
2460,0.0130230173820204
2456,0.0133196110504042
2452,0.0135186708875151
2448,0.0136976725046932
2444,0.0138596095000521
2440,0.0140185554544383
2436,0.0142032276320565
2432,0.014404771251975
2428,0.0146517025716219
2424,0.0150445510199926
2420,0.0156297055681138
2416,0.0162572656576574
2412,0.016636737931934
2408,0.0165360401486552
2404,0.0159792263757693
2400,0.0152771875330552
2396,0.0147584065921781
2392,0.014458842564303
2388,0.0141272131891896
2384,0.013603463957084
2380,0.0130600272575568
2376,0.0127651927543189
2372,0.0127220288014859
2368,0.0126945363445316
2364,0.0126017239466221
2360,0.0125872810191994
2356,0.0126882888391765
2352,0.0128544111977811
2348,0.0132183525831575
2344,0.0139541805552337
2340,0.0148792959449796
2336,0.0155068460074596
2332,0.015727597443737
2328,0.0160001766945533
2324,0.016868034931093
2320,0.018789074997359
2316,0.0219808436820999
2312,0.0257687403153554
2308,0.028441695413266
2304,0.0285394359696868
2300,0.0262019784366821
2296,0.0228157064842851
2292,0.0195395968962228
2288,0.0166156232533953
2284,0.0141342907860781
2280,0.0126041658655302
2276,0.0121709669388782
2272,0.012156187482189
2268,0.0123282417459184
2264,0.0136344066750077
2260,0.0165265322329053
2256,0.0194332942305044
2252,0.0202285073543766
2248,0.018481087262394
2244,0.015571848763154
2240,0.012999654358982
2236,0.0113490385774779
2232,0.0107106623564297
2228,0.0108793421042496
2224,0.0112595068091095
2220,0.0115244377496455
2216,0.0119363870058977
2212,0.012581174568638
2208,0.0129857539684832
2204,0.0128863852847548
2200,0.0126321847156297
2196,0.0124814943553308
2192,0.0121592893026697
2188,0.0116260520616387
2184,0.0115879531497903
2180,0.0124696948126201
2176,0.0133747664778101
2172,0.013571320535461
2168,0.0135565289664779
2164,0.0141620868496402
2160,0.0153252416288427
2156,0.0161974880629818
2152,0.0163449398898896
2148,0.0160804220761199
2144,0.0158869740025524
2140,0.0159189088128865
2136,0.0159964013271381
2132,0.0157394944273841
2128,0.0150785140945923
2124,0.0143308171385212
2120,0.0137234023423014
2116,0.0131104208512533
2112,0.0122716356123114
2108,0.0113683291689249
2104,0.0107348633001523
2100,0.0103445063523695
2096,0.00997631163594245
2092,0.00983948020107137
2088,0.0102949616586497
2084,0.0110127197923971
2080,0.0112962419531648
2076,0.0111170971424738
2072,0.0110562209402878
2068,0.0113401719968926
2064,0.011625945163589
2060,0.011791511158343
2056,0.011973530503992
2052,0.0118338469077225
2048,0.0109065965197409
2044,0.00972509986652817
2040,0.00942998335917375
2036,0.00995139686730716
2032,0.0101651322204964
2028,0.0102147717089759
2024,0.011039924253818
2020,0.0120132602061601
2016,0.0118760539727442
2012,0.0110783579680247
2008,0.0109519960846724
2004,0.0114070948749375
2000,0.0113336770095004
1996,0.0108500580931105
1992,0.0107988798928607
1988,0.0109618589369192
1984,0.01040846263247
1980,0.00941914385900303
1976,0.00930908925946619
1972,0.00997185381743398
1968,0.0099622854899521
1964,0.00953044681170218
1960,0.00998898743168073
1956,0.0110426687115201
1952,0.0113957800086925
1948,0.0111248620572581
1944,0.0111417269017845
1940,0.0114092023712714
1936,0.011210064372422
1932,0.0106818716285635
1928,0.0105529201218842
1924,0.0108025654713768
1920,0.0107332632005023
1916,0.0102695451666177
1912,0.00997929099601694
1908,0.0100193795077704
1904,0.0100388033501145
1900,0.010057597596621
1896,0.0104190171340278
1892,0.0109632281217902
1888,0.0111564136074036
1884,0.0109945896703066
1880,0.0108769417398791
1876,0.0108396532336863
1872,0.0106335526956249
1868,0.0103950051852282
1864,0.0104951712884507
1860,0.0107713894213949
1856,0.0107925177176457
1852,0.01065867425393
1848,0.0108270252887884
1844,0.0113395403961503
1840,0.0118381189471366
1836,0.0123937385560093
1832,0.0134813518527193
1828,0.015393742371002
1824,0.0182590742435148
1820,0.022204675615862
1816,0.0265192202590249
1812,0.0292427429374554
1808,0.0288239542056418
1804,0.0256761763438362
1800,0.021598723223116
1796,0.0181775364246803
1792,0.0157948330258483
1788,0.0141633761447689
1784,0.0131201292235773
