Wavenumbercm-1,01:06:59
3000,0.0164646029533804
2996,0.0215094017902293
2992,0.0281529029058617
2988,0.032762871993887
2984,0.0332271319275383
2980,0.0305767932868166
2976,0.0266239825558089
2972,0.0223417083900628
2968,0.0184976767808689
2964,0.0162349625174504
2960,0.015750220991028
2956,0.0156504544070629
2952,0.0148441203458486
2948,0.0139101344947772
2944,0.0137062734821323
2940,0.0139460027341104
2936,0.0140861231671748
2932,0.0141460619264609
2928,0.0138554170657028
2924,0.0125588705795412
2920,0.0107698088103073
2916,0.0101251704718284
2912,0.0108305740639855
2908,0.0111505644966425
2904,0.010181432265235
2900,0.00896598824690648
2896,0.00865232428911291
2892,0.00896426937480784
2888,0.00919896361543768
2884,0.009499184699028
2880,0.0101828568303532
2876,0.0107925049915538
2872,0.0106904445374995
2868,0.00999883921942234
2864,0.00922037999234342
2860,0.00854700552258779
2856,0.00808094418825219
2852,0.008076750991993
2848,0.0083677790039842
2844,0.00832879519890167
2840,0.00784553935245811
2836,0.00755358255468282
2832,0.00775596120711991
2828,0.00790128088320596
2824,0.00756810091277156
2820,0.00712139582710843
2816,0.0069231331503882
2812,0.00666047259838243
2808,0.00598903730362204
2804,0.0052173369547664
2800,0.00480910679442255
2796,0.00474203483764687
2792,0.00476930360919415
2788,0.00489251335745584
2784,0.00516332623665907
2780,0.00537894526632667
2776,0.00535747463331985
2772,0.00524626737378129
2768,0.00524944922909183
2764,0.00531110835765892
2760,0.00534102533099377
2756,0.00548715522416161
2752,0.00588371691246475
2748,0.00636764503507724
2744,0.00659477905706637
2740,0.00633165985759397
2736,0.00561247168852661
2732,0.0047776334535333
2728,0.00433696948089083
2724,0.00452095940877881
2720,0.00499526609090715
2716,0.00527128088831294
2712,0.0052524669910568
2708,0.00517525178424156
2704,0.00519443357639355
2700,0.00537022052115591
2696,0.00593244761300307
2692,0.00702285027753023
2688,0.00816976581680739
2684,0.008609270718899
2680,0.00816610599991507
2676,0.00738993105990793
2672,0.00677892535692174
2668,0.00632101329289358
2664,0.00586184153278271
2660,0.00548854244512561
2656,0.00535865965082223
2652,0.00541225830984358
2648,0.0054246535513136
2644,0.00524750605634068
2640,0.0049189265711503
2636,0.00461682656549108
2632,0.00460154450558102
2628,0.00498096953180317
2624,0.00546066346422292
2620,0.00557677639152005
2616,0.00521783978300529
2612,0.00479922653980314
2608,0.0047670899083999
2604,0.0051091824716283
2600,0.00545985936394745
2596,0.00552953784115071
2592,0.00530625869399304
2588,0.00500636786604002
2584,0.00490775440444051
2580,0.00507901088790186
2576,0.00541536127105936
2572,0.0058806047009086
2568,0.00654156213323604
2564,0.00742342018597632
2560,0.00854476462286698
2556,0.0100850860480252
2552,0.0122080872594104
2548,0.0147924129495021
2544,0.0175607184976497
2540,0.0203531098456081
2536,0.0227873293375389
2532,0.0240787061237514
2528,0.0237732890978726
2524,0.0219722108905564
2520,0.0190592763546152
2516,0.0157822879944965
2512,0.0129081456826845
2508,0.0107889994337781
2504,0.00941936063164148
2500,0.00849390376362744
2496,0.00757306693105851
2492,0.00657717256430223
2488,0.00583604202796925
2484,0.00552612676190215
2480,0.00542817082731762
2476,0.00540066865258526
2472,0.00556287603949698
2468,0.00582293964430304
2464,0.00581656594852294
2460,0.00549193072549934
2456,0.00524289258577132
2452,0.00532779631136149
2448,0.00552215228326306
2444,0.005599407295022
2440,0.00572623564627396
2436,0.00608992433340745
2432,0.00655662565990958
2428,0.00697030814502297
2424,0.00742799773827225
2420,0.0080318445942701
2416,0.00863347535993531
2412,0.00902028786080947
2408,0.00906989044907342
2404,0.00872579580344912
2400,0.00806013711160254
2396,0.00736223348758239
2392,0.00694864616955415
2388,0.00681527534938671
2384,0.00669439106698531
2380,0.00645731551110287
2376,0.00624879731192452
2372,0.00624823958363319
2368,0.00643450445652232
2364,0.00668762883560428
2360,0.00690570804256221
2356,0.00693645912100626
2352,0.00670311279919023
2348,0.00637730285889766
2344,0.00619654644065522
2340,0.00625242781556473
2336,0.00647269617037973
2332,0.00680827926936754
2328,0.00730047115207423
2324,0.00806805397414101
2320,0.00948243662464503
2316,0.0119944627902317
2312,0.0152603743443835
2308,0.0177763256419701
2304,0.0181364011554364
2300,0.0164055531456966
2296,0.0137882983002901
2292,0.0112962786815743
2288,0.00913214489064447
2284,0.00727433951735457
2280,0.00599833951181578
2276,0.00542020491989306
2272,0.00522743850743033
2268,0.00542343336679386
2264,0.0064800649536336
2260,0.00825119221095474
2256,0.00960974897904823
2252,0.00974149840507695
2248,0.0088864201737782
2244,0.00770104275088151
2240,0.00660341992512591
2236,0.00585429528708604
2232,0.00558105653289197
2228,0.00537487726394659
2224,0.0046749683496965
2220,0.00378820666808083
2216,0.00365553060334805
2212,0.00447678030416168
2208,0.00544854647306781
2204,0.0061858369513423
2200,0.0069592075465032
2196,0.00751195048486301
2192,0.00706331021005378
2188,0.00579310536728344
2184,0.00491454072788265
2180,0.00506417911787086
2176,0.00556994407409657
2172,0.00600298653042455
2168,0.00675815932057445
2164,0.00760420881341374
2160,0.00767629746626546
2156,0.0072045153244197
2152,0.00721134252179885
2148,0.00762494013370174
2144,0.0076460708452528
2140,0.00743432112909731
2136,0.00757346151013484
2132,0.00784467910536112
2128,0.00768353826999654
2124,0.00720390994990613
2120,0.00683825520049598
2116,0.00649235701713268
2112,0.00578316493935555
2108,0.00498453477867276
2104,0.00476818840263971
2100,0.00508858041708626
2096,0.00519958442227748
2092,0.00492613273168056
2088,0.00484108430297373
2084,0.00515943605525263
2080,0.00549382648053067
2076,0.00575149938395388
2072,0.00621492656646678
2068,0.00675221994316116
2064,0.00685582254099732
2060,0.00660338155882582
2056,0.00653536899045483
2052,0.00661972675525634
2048,0.00633748015288469
2044,0.00586623313014361
2040,0.00600589277662337
2036,0.00655475982124024
2032,0.00632282456337045
2028,0.00533240442699254
2024,0.0047873799544453
2020,0.00507796585919584
2016,0.00537015690774631
2012,0.0054943694914707
